recommender,runtime
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=1.00, idf_w=0.60, perm=128, part=32)",75.242260
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(wt=0.75, idf_w=0.00, perm=128, part=32)",21702.633315
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(wt=0.75, idf_w=0.30, perm=128, part=32)",20958.100000
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(wt=0.75, idf_w=0.60, perm=128, part=32)",19894.658007
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(wt=1.00, idf_w=0.00, perm=128, part=32)",7644.601703
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(wt=1.00, idf_w=0.30, perm=128, part=32)",7131.273721
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(wt=1.00, idf_w=0.60, perm=128, part=32)",6382.214500
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.00, perm=128, part=32)",13594.604780
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.15, perm=128, part=32)",14949.598002
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.30, perm=128, part=32)",11879.062876
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.60, perm=128, part=32)",9379.582472
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.00, perm=128, part=32)",10241.594223
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.15, perm=128, part=32)",9034.588805
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.30, perm=128, part=32)",8600.506537
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.60, perm=128, part=32)",9571.940044
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.00, perm=128, part=32)",3052.292028
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.15, perm=128, part=32)",2954.205309
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.30, perm=128, part=32)",2873.437728
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.60, perm=128, part=32)",2313.823998
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.00, perm=128, part=32)",963.789600
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.15, perm=128, part=32)",918.725972
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.30, perm=128, part=32)",864.999945
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.60, perm=128, part=32)",824.774499
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.00, perm=128, part=32)",850.725811
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.15, perm=128, part=32)",806.088390
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.30, perm=128, part=32)",752.465202
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.60, perm=128, part=32)",720.420500
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=1.00, idf_w=0.00, perm=128, part=32)",69.070266
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=1.00, idf_w=0.30, perm=128, part=32)",68.113657
"Recommender from RawGameTagSimilarity with game_tags=GameTags(thres=1.00, idf_w=0.60, perm=128, part=32)",68.212170
"Recommender from RawGameTagSimilarity with game_tags=GameTags(wt=0.75, idf_w=0.00, perm=128, part=32)",23142.234664
"Recommender from RawGameTagSimilarity with game_tags=GameTags(wt=0.75, idf_w=0.30, perm=128, part=32)",19974.601831
"Recommender from RawGameTagSimilarity with game_tags=GameTags(wt=0.75, idf_w=0.60, perm=128, part=32)",20120.963108
"Recommender from RawGameTagSimilarity with game_tags=GameTags(wt=1.00, idf_w=0.00, perm=128, part=32)",8675.466925
"Recommender from RawGameTagSimilarity with game_tags=GameTags(wt=1.00, idf_w=0.30, perm=128, part=32)",8134.268135
"Recommender from RawGameTagSimilarity with game_tags=GameTags(wt=1.00, idf_w=0.60, perm=128, part=32)",6528.089501
